datetime,close,open,high,low,vol,obv,rsi,atr,macd
2021-10-01 06:45:00,412.7990,412.9600,413.0660,412.7020,30000,-7527.0000,54.8161,0.4303,0.1951
2021-10-01 06:50:00,413.0110,412.9510,413.1140,412.6730,22200,14673.0000,58.8746,0.4311,0.2006
2021-10-01 06:55:00,413.2240,413.0370,413.3270,412.9240,13458,28131.0000,62.5174,0.4291,0.2094
2021-10-01 07:00:00,413.5130,413.2210,415.3650,413.0880,141817,169948.0000,66.8128,0.5611,0.2287
2021-10-01 07:05:00,413.6780,413.5980,413.8870,413.4070,40075,210023.0000,68.9973,0.5553,0.2712
2021-10-01 07:10:00,414.1220,413.7810,414.2250,413.6380,35708,245731.0000,73.9636,0.5575,0.3160
2021-10-01 07:15:00,414.2860,414.1190,414.6600,413.9860,136860,382591.0000,75.5233,0.5659,0.3745
2021-10-01 07:20:00,414.6430,414.2830,414.7470,414.1310,25382,407973.0000,78.5374,0.5694,0.4292
2021-10-01 07:25:00,415.2230,414.6700,415.4610,414.5550,182383,590356.0000,82.3418,0.5935,0.4980
2021-10-01 07:30:00,415.5510,415.2300,415.7220,415.0290,90533,680889.0000,84.0623,0.6006,0.5909
2021-10-01 07:35:00,415.8700,415.6350,416.3700,415.5020,162251,843140.0000,85.5381,0.6197,0.6892
2021-10-01 07:40:00,415.7060,415.8960,416.0700,415.5600,69491,773649.0000,81.3666,0.6119,0.7792
2021-10-01 07:45:00,416.2270,415.7320,416.6500,415.6180,266644,1040293.0000,84.0310,0.6419,0.8278
2021-10-01 07:50:00,415.6960,416.3020,416.5240,415.5690,130032,910261.0000,72.6318,0.6642,0.9019
2021-10-01 07:55:00,415.8410,415.6740,415.9640,415.4530,70709,980970.0000,73.6817,0.6533,0.8996
2021-10-01 08:00:00,416.0050,415.9160,416.6210,410.9730,185037,1166007.0000,74.8566,1.0101,0.9068
2021-10-01 08:05:00,416.0340,416.0120,416.2250,412.0930,90264,1256271.0000,75.0685,1.2330,0.9098
2021-10-01 08:10:00,415.9860,416.0700,416.1470,415.6560,63585,1192686.0000,73.9573,1.1800,0.9064
2021-10-01 08:15:00,416.5360,415.9930,416.8140,415.8490,264293,1456979.0000,77.9796,1.1647,0.8872
2021-10-01 08:20:00,416.3430,416.6010,416.8240,416.2160,120323,1336656.0000,73.6792,1.1249,0.9106
2021-10-01 08:25:00,416.6620,416.3210,416.8140,416.2070,90353,1427009.0000,76.0320,1.0879,0.8963
2021-10-01 08:30:00,415.9660,416.7270,416.8240,415.8590,137795,1289214.0000,62.8347,1.0791,0.9072
2021-10-01 08:35:00,415.4540,415.9730,416.0510,415.3470,187197,1102017.0000,55.2388,1.0523,0.8452
2021-10-01 08:40:00,415.4540,415.4810,415.9540,415.2800,83458,1102017.0000,55.2388,1.0253,0.7478
2021-10-01 08:45:00,415.4740,415.4810,415.7130,415.2020,186422,1288439.0000,55.4826,0.9886,0.6630
2021-10-01 08:50:00,415.6190,415.4910,415.8190,415.3280,73764,1362203.0000,57.2985,0.9530,0.5897
2021-10-01 08:55:00,415.6670,415.7030,415.8960,415.4630,134793,1496996.0000,57.9106,0.9159,0.5426
2021-10-01 09:00:00,416.1880,415.7510,416.3500,415.6370,99734,1596730.0000,63.9506,0.9014,0.5032
2021-10-01 09:05:00,415.9370,416.2150,416.3890,414.3430,127996,1468734.0000,59.5192,0.9832,0.5037
2021-10-01 09:10:00,416.1980,415.9830,416.3120,415.8690,55950,1524684.0000,62.4342,0.9446,0.4798
2021-10-01 09:15:00,416.3240,416.2150,416.4850,416.0910,92957,1617641.0000,63.7899,0.9053,0.4742
2021-10-01 09:20:00,416.2560,416.2730,416.4950,416.0230,35376,1582265.0000,62.4794,0.8743,0.4690
2021-10-01 09:25:00,416.2080,416.2630,416.4470,416.0910,58353,1523912.0000,61.5188,0.8373,0.4587
2021-10-01 09:30:00,415.5510,416.2340,416.9200,415.4130,2228522,-704610.0000,50.1519,0.8851,0.4432
2021-10-01 09:35:00,414.9910,415.5770,416.1280,414.8930,1844319,-2548929.0000,42.8794,0.9101,0.3735
2021-10-01 09:40:00,414.5560,415.0270,415.4610,414.4690,1553948,-4102877.0000,38.2405,0.9160,0.2708
2021-10-01 09:45:00,414.7540,414.5830,415.2100,414.2750,1800028,-2302849.0000,41.3507,0.9173,0.1519
2021-10-01 09:50:00,414.5850,414.7860,415.0750,414.1310,1481475,-3784324.0000,39.5213,0.9192,0.0731
2021-10-01 09:55:00,414.6920,414.6120,414.9110,414.0150,1263609,-2520715.0000,41.2923,0.9176,-0.0033
2021-10-01 10:00:00,414.6140,414.7080,415.6730,414.1790,2594998,-5115713.0000,40.3643,0.9587,-0.0555
2021-10-01 10:05:00,415.0490,414.6400,415.4810,414.2750,1350999,-3764714.0000,47.4558,0.9764,-0.1011
2021-10-01 10:10:00,414.8270,415.0660,415.3940,414.5460,1269341,-5034055.0000,44.5446,0.9672,-0.1018
2021-10-01 10:15:00,413.3880,414.8340,414.9980,413.1650,2598201,-7632256.0000,31.1887,1.0291,-0.1196
2021-10-01 10:20:00,412.7890,413.4240,413.6550,412.5180,1672770,-9305026.0000,27.4933,1.0368,-0.2447
2021-10-01 10:25:00,413.0210,412.8250,413.5970,412.5380,1521792,-7783234.0000,30.9079,1.0384,-0.3877
2021-10-01 10:30:00,413.0980,413.0470,413.4520,412.7210,1277130,-6506104.0000,32.0516,1.0164,-0.4776
2021-10-01 10:35:00,412.7410,413.1050,413.7420,412.6440,1411286,-7917390.0000,29.6047,1.0222,-0.5380
2021-10-01 10:40:00,412.9050,412.7480,413.7710,412.6240,1324911,-6592479.0000,32.1666,1.0312,-0.6077
2021-10-01 10:45:00,413.6490,412.9410,413.8100,412.4990,1366931,-5225548.0000,42.4069,1.0511,-0.6399
2021-10-01 10:50:00,413.5040,413.6940,413.8870,413.2440,1216102,-6441650.0000,41.1045,1.0220,-0.5978
2021-10-01 10:55:00,414.4790,413.5300,414.6380,413.3490,1216383,-5225267.0000,51.8196,1.0411,-0.5711
2021-10-01 11:00:00,414.3650,414.4960,415.0410,414.2080,1286849,-6512116.0000,50.6590,1.0262,-0.4666
2021-10-01 11:05:00,413.6530,414.3990,414.6890,413.5470,1006643,-7518759.0000,44.0271,1.0345,-0.3872
2021-10-01 11:10:00,415.5700,413.6850,415.8960,413.5130,1435630,-6083129.0000,59.4278,1.1308,-0.3775
2021-10-01 11:15:00,415.8020,415.5970,415.9250,415.2410,1262640,-4820489.0000,60.8323,1.0989,-0.2130
2021-10-01 11:20:00,416.1500,415.8380,416.2630,415.3570,960570,-3859919.0000,62.9067,1.0851,-0.0626
2021-10-01 11:25:00,415.6670,416.1760,416.3120,415.5310,1119009,-4978928.0000,58.2922,1.0634,0.0830
2021-10-01 11:30:00,416.2270,415.6840,416.3890,415.5210,1188159,-3790769.0000,61.7917,1.0494,0.1569
2021-10-01 11:35:00,416.5750,416.2630,416.7950,415.8980,1340179,-2450590.0000,63.8231,1.0385,0.2591
2021-10-01 11:40:00,417.0000,416.6110,417.2200,416.3900,917029,-1533561.0000,66.1875,1.0236,0.3641
2021-10-01 11:45:00,416.9220,417.0260,417.3930,416.8050,849923,-2383484.0000,65.3434,0.9925,0.4752
2021-10-01 11:50:00,416.8840,416.9440,417.1230,416.3900,836663,-3220147.0000,64.9091,0.9740,0.5504
2021-10-01 11:55:00,416.6520,416.9200,417.0260,416.2350,681431,-3901578.0000,62.1915,0.9609,0.6011
2021-10-01 12:00:00,416.3910,416.6780,416.9640,416.1100,792731,-4694309.0000,59.1891,0.9533,0.6146
2021-10-01 12:05:00,416.8690,416.4470,417.0460,416.1580,601669,-4092640.0000,62.7371,0.9486,0.5998
2021-10-01 12:10:00,416.3530,416.8910,416.9680,416.2550,666438,-4759078.0000,56.9784,0.9318,0.6168
2021-10-01 12:15:00,416.3040,416.3890,416.6400,415.8980,769225,-5528303.0000,56.4485,0.9182,0.5830
2021-10-01 12:20:00,416.7970,416.3210,417.1040,416.1680,676593,-4851710.0000,60.4352,0.9195,0.5445
2021-10-01 12:25:00,416.7580,416.8140,417.0460,416.4960,381615,-5233325.0000,59.9676,0.8931,0.5474
2021-10-01 12:30:00,416.9610,416.7940,417.2390,416.6220,397763,-4835562.0000,61.6319,0.8734,0.5419
2021-10-01 12:35:00,416.6330,416.9970,417.2390,416.3610,681924,-5517486.0000,57.4742,0.8737,0.5476
2021-10-01 12:40:00,416.8450,416.6690,417.0170,416.4870,422326,-5095160.0000,59.3815,0.8492,0.5196
