datetime,close,open,high,low,vol,obv,rsi,atr,macd
2023-09-01 06:45:00,448.5910,448.7510,449.1340,448.5090,69668,-32319.0000,55.6085,0.2079,0.1572
2023-09-01 06:50:00,448.4820,448.6220,448.8950,448.4590,28529,-60848.0000,51.4200,0.2242,0.1512
2023-09-01 06:55:00,448.6400,448.5230,448.6570,448.4590,2027,-58821.0000,56.5311,0.2224,0.1369
2023-09-01 07:00:00,448.7100,448.5820,448.7170,448.4300,42075,-16746.0000,58.6088,0.2270,0.1289
2023-09-01 07:05:00,448.5610,448.6920,448.7170,448.5290,15633,-32379.0000,52.8213,0.2242,0.1299
2023-09-01 07:10:00,448.7000,448.5920,448.7070,448.5390,3161,-29218.0000,57.0793,0.2202,0.1212
2023-09-01 07:15:00,448.7990,448.7020,448.8760,448.6780,5333,-23885.0000,59.8582,0.2186,0.1218
2023-09-01 07:20:00,448.7890,448.8110,448.8460,448.7070,3437,-27322.0000,59.4396,0.2129,0.1296
2023-09-01 07:25:00,448.7890,448.8400,448.8760,448.7070,10787,-27322.0000,59.4396,0.2098,0.1365
2023-09-01 07:30:00,448.6700,448.7610,448.8060,448.5980,1907,-29229.0000,54.2075,0.2096,0.1341
2023-09-01 07:35:00,448.6310,448.6820,448.7370,448.5880,3093,-32322.0000,52.5741,0.2053,0.1243
2023-09-01 07:40:00,448.8990,448.6920,448.9450,448.6680,13685,-18637.0000,61.2211,0.2131,0.1161
2023-09-01 07:45:00,448.7500,448.9100,448.9250,448.7270,3758,-22395.0000,55.1957,0.2120,0.1257
2023-09-01 07:50:00,448.7000,448.7710,448.7760,448.6180,4774,-27169.0000,53.2999,0.2081,0.1207
2023-09-01 07:55:00,448.6500,448.6620,448.6970,448.5590,27406,-54575.0000,51.3987,0.2033,0.1067
2023-09-01 08:00:00,448.7690,448.5830,448.9300,446.9310,53333,-1242.0000,55.4698,0.3316,0.0883
2023-09-01 08:05:00,448.9180,448.8110,448.9650,448.7270,8435,7193.0000,59.9890,0.3249,0.0910
2023-09-01 08:10:00,448.7100,448.9380,448.9450,448.6880,9772,-2579.0000,52.0480,0.3201,0.1022
2023-09-01 08:15:00,448.5710,448.7020,448.7660,448.5390,19135,-21714.0000,47.5209,0.3134,0.0910
2023-09-01 08:20:00,448.7500,448.5580,448.7760,448.4890,99666,77952.0000,53.1698,0.3115,0.0697
2023-09-01 08:25:00,448.7200,448.7510,448.9950,448.5290,98926,-20974.0000,52.1565,0.3226,0.0676
