datetime,close,open,high,low,vol,obv,rsi,atr,macd
2022-07-01 06:45:00,367.1660,367.2220,367.2470,366.8840,5550,38100.0000,49.9510,0.4305,0.2692
2022-07-01 06:50:00,366.9120,367.1440,367.2280,366.8740,1100,37000.0000,46.2033,0.4251,0.2020
2022-07-01 06:55:00,366.8430,367.0070,367.1790,366.7760,5848,31152.0000,45.2109,0.4235,0.1361
2022-07-01 07:00:00,367.1460,367.0170,367.2960,366.7760,28639,59791.0000,50.2628,0.4304,0.0837
2022-07-01 07:05:00,367.1070,367.2710,367.2960,366.9230,17135,42656.0000,49.6285,0.4263,0.0619
2022-07-01 07:10:00,367.0010,367.1830,367.2370,366.8250,26099,16557.0000,47.8606,0.4253,0.0371
2022-07-01 07:15:00,367.1460,366.9390,367.2760,366.7470,8060,24617.0000,50.4603,0.4327,-0.0021
2022-07-01 07:20:00,367.1460,367.1830,367.2080,366.9620,11651,24617.0000,50.4603,0.4193,-0.0134
2022-07-01 07:25:00,367.4000,367.1730,367.5500,367.0110,19995,44612.0000,55.0169,0.4279,-0.0229
2022-07-01 07:30:00,367.1360,367.3980,367.4910,367.0300,8075,36537.0000,49.8814,0.4302,-0.0122
2022-07-01 07:35:00,366.9410,367.1440,367.3250,366.9030,3600,32937.0000,46.4337,0.4297,-0.0238
2022-07-01 07:40:00,366.7260,366.9390,367.0130,366.5420,22264,10673.0000,42.9119,0.4326,-0.0491
2022-07-01 07:45:00,366.2280,366.7340,366.7590,366.1910,17676,-7003.0000,36.0849,0.4423,-0.0846
2022-07-01 07:50:00,366.3360,366.2070,366.4460,366.0930,12596,5593.0000,38.3747,0.4359,-0.1536
2022-07-01 07:55:00,366.4240,366.2260,366.4860,365.8390,33590,39183.0000,40.2529,0.4510,-0.2043
2022-07-01 08:00:00,366.7850,366.7240,368.3210,364.6190,95199,134382.0000,47.3430,0.6832,-0.2020
2022-07-01 08:05:00,366.9020,366.8410,367.0130,366.7080,22238,156620.0000,49.4373,0.6562,-0.1886
2022-07-01 08:10:00,366.9610,366.9390,367.0420,366.7470,15058,171678.0000,50.5063,0.6304,-0.1681
2022-07-01 08:15:00,366.9510,366.9290,367.0810,366.7760,35390,136288.0000,50.3121,0.6071,-0.1509
2022-07-01 08:20:00,366.7950,366.8220,367.2470,366.6690,32127,104161.0000,47.2600,0.6051,-0.1443
2022-07-01 08:25:00,366.7560,366.7920,367.1690,366.5710,9707,94454.0000,46.5005,0.6046,-0.1398
2022-07-01 08:30:00,367.7420,366.7920,367.8530,366.6490,78974,173428.0000,62.7840,0.6474,-0.1348
2022-07-01 08:35:00,367.4100,367.7690,367.8040,367.2450,69854,103574.0000,56.5434,0.6411,-0.0513
2022-07-01 08:40:00,367.6050,367.5440,367.6670,367.2940,22875,126449.0000,59.1140,0.6219,-0.0033
2022-07-01 08:45:00,367.5560,367.6320,367.9110,367.3620,37663,88786.0000,58.1827,0.6167,0.0414
2022-07-01 08:50:00,367.5950,367.5930,367.8140,367.2940,20298,109084.0000,58.7399,0.6098,0.0728
2022-07-01 08:55:00,367.3900,367.6030,367.6280,367.1670,39176,69908.0000,54.6200,0.5992,0.0974
2022-07-01 09:00:00,367.5760,367.6320,368.1260,367.2940,77701,147609.0000,57.5305,0.6158,0.1179
2022-07-01 09:05:00,367.5070,367.6320,367.7450,367.3520,34943,112666.0000,56.0933,0.5999,0.1326
2022-07-01 09:10:00,367.7810,367.6420,367.9800,367.5380,84353,197019.0000,60.3314,0.5908,0.1434
2022-07-01 09:15:00,367.9760,367.8270,368.0580,367.5960,43861,240880.0000,63.0639,0.5816,0.1649
2022-07-01 09:20:00,367.9950,367.9540,368.1750,367.7140,51576,292456.0000,63.3289,0.5730,0.1901
2022-07-01 09:25:00,367.6340,367.9350,367.9600,367.5480,88152,204304.0000,55.2206,0.5640,0.2061
