datetime,close,open,high,low,vol,obv,rsi,atr,macd
2023-10-02 06:45:00,425.7510,425.7610,425.8360,425.7040,5616,-32417.0000,24.6298,0.2544,-0.6362
2023-10-02 06:50:00,425.8110,425.7610,425.8260,425.5250,28776,-3641.0000,27.1580,0.2577,-0.6121
2023-10-02 06:55:00,425.7510,425.8410,425.8460,425.6240,11829,-15470.0000,26.2111,0.2551,-0.5798
2023-10-02 07:00:00,425.7210,425.7420,425.9050,425.7140,14020,-29490.0000,25.7281,0.2506,-0.5558
2023-10-02 07:05:00,425.7510,425.7220,425.7860,425.6140,5436,-24054.0000,27.1734,0.2449,-0.5323
2023-10-02 07:10:00,425.7610,425.6820,425.7760,425.6640,34983,10929.0000,27.6785,0.2354,-0.5110
2023-10-02 07:15:00,425.8600,425.7610,425.8850,425.7540,12674,23603.0000,32.6588,0.2280,-0.4821
2023-10-02 07:20:00,425.9700,425.8910,426.0250,425.8830,21720,45323.0000,37.7854,0.2235,-0.4437
2023-10-02 07:25:00,425.9600,425.9810,426.0050,425.8730,6134,39189.0000,37.5058,0.2170,-0.4013
2023-10-02 07:30:00,425.7910,425.9810,425.9950,425.6740,30046,9143.0000,33.0552,0.2244,-0.3636
2023-10-02 07:35:00,425.8700,425.7910,425.9550,425.7540,17003,26146.0000,36.8289,0.2227,-0.3450
2023-10-02 07:40:00,425.3330,425.8710,425.8750,425.2560,119720,-93574.0000,26.0708,0.2510,-0.3201
2023-10-02 07:45:00,425.2430,425.3330,425.3770,425.0970,17275,-110849.0000,24.7651,0.2531,-0.3399
2023-10-02 07:50:00,425.0740,425.2440,425.3770,425.0470,17634,-128483.0000,22.4876,0.2586,-0.3587
2023-10-02 07:55:00,425.1730,425.0740,425.2280,424.9970,17749,-110734.0000,26.7380,0.2566,-0.3828
2023-10-02 08:00:00,424.7450,425.7710,428.6140,424.6980,64446,-175180.0000,21.3001,0.5180,-0.3418
2023-10-02 08:05:00,424.8050,424.7060,424.8790,424.6680,19970,-155210.0000,23.6445,0.4961,-0.3907
2023-10-02 08:10:00,424.9240,424.8050,425.7560,424.7980,57526,-97684.0000,28.2122,0.5291,-0.4166
2023-10-02 08:15:00,424.8840,424.9250,424.9790,424.6880,21566,-119250.0000,27.6142,0.5121,-0.4227
2023-10-02 08:20:00,424.7350,424.8750,424.9790,424.4890,37369,-156619.0000,25.4502,0.5105,-0.4265
2023-10-02 08:25:00,424.8650,424.7540,424.8890,424.6480,17777,-138842.0000,30.5629,0.4912,-0.4344
2023-10-02 08:30:00,424.8740,424.8950,425.0190,424.7880,36056,-102786.0000,30.9162,0.4726,-0.4243
2023-10-02 08:35:00,425.0440,424.8650,425.0990,424.8480,21778,-81008.0000,37.3947,0.4568,-0.4140
2023-10-02 08:40:00,425.0440,425.0440,425.1280,424.8770,21814,-81008.0000,37.3947,0.4421,-0.3869
2023-10-02 08:45:00,424.8560,425.0240,425.7560,424.7880,24864,-105872.0000,33.3799,0.4797,-0.3629
2023-10-02 08:50:00,424.6250,424.8750,425.0290,424.5590,57278,-163150.0000,29.2276,0.4790,-0.3518
2023-10-02 08:55:00,424.7100,424.6160,425.7560,424.5290,22346,-140804.0000,32.5524,0.5324,-0.3598
2023-10-02 09:00:00,424.2770,424.6960,424.7900,424.1400,102471,-243275.0000,25.8821,0.5408,-0.3556
2023-10-02 09:05:00,424.1970,424.2820,424.3910,424.1210,142478,-385753.0000,24.8682,0.5215,-0.3812
2023-10-02 09:10:00,424.6160,424.1830,429.6850,424.1600,60887,-324866.0000,38.4647,0.8789,-0.4049
2023-10-02 09:15:00,424.6450,424.5760,424.7500,424.5290,92239,-232627.0000,39.2837,0.8319,-0.3874
2023-10-02 09:20:00,424.8100,424.6360,424.8790,424.4290,80083,-152544.0000,43.8618,0.8046,-0.3646
2023-10-02 09:25:00,424.8840,424.8050,424.9690,424.7080,164287,11743.0000,45.8344,0.7658,-0.3290
2023-10-02 09:30:00,425.3820,424.8950,425.4470,424.5200,2154707,2166450.0000,56.8284,0.7773,-0.2902
2023-10-02 09:35:00,425.8710,425.3930,426.0250,425.3850,1239518,3405968.0000,64.4571,0.7677,-0.2168
2023-10-02 09:40:00,425.8110,425.8730,425.9150,425.4950,818663,2587305.0000,62.9864,0.7429,-0.1185
2023-10-02 09:45:00,425.1730,425.8110,425.8160,425.0470,1086129,1501176.0000,49.9384,0.7447,-0.0451
2023-10-02 09:50:00,425.0320,425.1640,425.4370,424.4640,1219187,281989.0000,47.5919,0.7610,-0.0387
2023-10-02 09:55:00,424.9980,425.0240,425.3080,424.9120,715612,-433623.0000,47.0182,0.7350,-0.0444
2023-10-02 10:00:00,426.1590,424.9550,426.3710,424.6780,2303132,1869509.0000,63.2911,0.8034,-0.0539
2023-10-02 10:05:00,425.6960,426.1700,426.3630,425.6340,923280,946229.0000,55.9154,0.7981,0.0362
2023-10-02 10:10:00,424.9950,425.6920,425.8460,424.9570,1173282,-227053.0000,46.9872,0.8046,0.0683
2023-10-02 10:15:00,425.4220,425.0000,425.9630,424.9770,958614,731561.0000,52.0135,0.8175,0.0374
2023-10-02 10:20:00,425.7710,425.4130,425.7960,424.9870,981641,1713202.0000,55.7097,0.8169,0.0458
2023-10-02 10:25:00,425.0590,425.7660,426.0950,424.8480,1133440,579762.0000,47.6465,0.8476,0.0799
2023-10-02 10:30:00,425.1830,425.0640,425.5370,424.5690,1347826,1927588.0000,49.0301,0.8562,0.0498
2023-10-02 10:35:00,425.0940,425.1840,425.4270,424.8080,687019,1240569.0000,48.0486,0.8393,0.0352
2023-10-02 10:40:00,424.8250,425.1040,425.3480,424.1800,1095810,144759.0000,45.1092,0.8628,0.0170
2023-10-02 10:45:00,424.8450,424.8450,425.1780,424.5790,733180,877939.0000,45.3768,0.8439,-0.0182
2023-10-02 10:50:00,424.7450,424.8250,425.2780,424.6480,657206,220733.0000,44.2163,0.8286,-0.0471
2023-10-02 10:55:00,424.6400,424.7310,424.8740,424.2800,839226,-618493.0000,42.9735,0.8119,-0.0767
2023-10-02 11:00:00,425.2530,424.6660,425.7560,424.5990,1059414,440921.0000,51.5374,0.8365,-0.1042
2023-10-02 11:05:00,425.0340,425.2440,425.4670,424.8080,662813,-221892.0000,48.7223,0.8239,-0.0785
2023-10-02 11:10:00,425.4970,425.0240,425.5770,424.8280,789609,567717.0000,54.3940,0.8185,-0.0750
2023-10-02 11:15:00,425.8010,425.4930,425.9950,425.3550,1019344,1587061.0000,57.7021,0.8058,-0.0339
2023-10-02 11:20:00,426.5970,425.7810,426.7420,425.7540,1131561,2718622.0000,64.8847,0.8188,0.0216
2023-10-02 11:25:00,426.6070,426.5930,426.7220,426.3410,571833,3290455.0000,64.9651,0.7875,0.1296
2023-10-02 11:30:00,426.3880,426.5960,426.8710,426.2820,1011683,2278772.0000,61.6333,0.7733,0.2130
2023-10-02 11:35:00,425.7910,426.3890,426.5030,425.5650,806521,1472251.0000,53.5681,0.7851,0.2593
2023-10-02 11:40:00,425.0840,425.8020,425.8650,425.0720,1076552,395699.0000,45.9066,0.7857,0.2459
2023-10-02 11:45:00,424.8000,425.0840,425.2380,424.6680,813329,-417630.0000,43.2318,0.7703,0.1753
2023-10-02 11:50:00,424.0330,424.7950,424.9690,423.8910,1382942,-1800572.0000,36.9672,0.7922,0.0949
2023-10-02 11:55:00,424.0870,424.0330,424.2320,423.7720,1203249,-597323.0000,37.6522,0.7685,-0.0299
2023-10-02 12:00:00,424.0090,424.0880,424.1620,423.8220,631464,-1228787.0000,37.0263,0.7379,-0.1230
2023-10-02 12:05:00,423.4250,424.0190,424.0580,423.2340,1000352,-2229139.0000,32.6499,0.7440,-0.2000
2023-10-02 12:10:00,423.9780,423.4210,424.0230,423.3240,899593,-1329546.0000,39.8946,0.7408,-0.3058
2023-10-02 12:15:00,423.7890,423.9790,424.3170,423.7440,917593,-2247139.0000,38.3752,0.7288,-0.3407
2023-10-02 12:20:00,424.1370,423.7990,424.1870,423.7120,623693,-1623446.0000,42.7022,0.7107,-0.3785
2023-10-02 12:25:00,423.8290,424.1380,424.3520,423.5930,824011,-2447457.0000,40.0236,0.7142,-0.3767
2023-10-02 12:30:00,423.8390,423.8290,423.9430,423.5830,800563,-1646894.0000,40.1549,0.6889,-0.3957
2023-10-02 12:35:00,423.7190,423.8390,424.0830,423.4430,784820,-2431714.0000,39.0505,0.6854,-0.4053
2023-10-02 12:40:00,423.4500,423.7300,423.8880,423.4330,664516,-3096230.0000,36.6191,0.6689,-0.4169
2023-10-02 12:45:00,422.8630,423.4310,423.6940,422.7960,868621,-3964851.0000,31.9451,0.6853,-0.4450
2023-10-02 12:50:00,422.9920,422.8730,423.1660,422.7360,746053,-3218798.0000,33.9406,0.6670,-0.5065
2023-10-02 12:55:00,423.1020,422.9930,423.2660,422.8770,832588,-2386210.0000,35.6727,0.6472,-0.5394
2023-10-02 13:00:00,423.3310,423.1020,423.5950,423.0250,584342,-1801868.0000,39.2443,0.6417,-0.5503
2023-10-02 13:05:00,423.2610,423.3410,423.4950,422.9850,767419,-2569287.0000,38.5399,0.6323,-0.5335
2023-10-02 13:10:00,422.9130,423.2620,423.3560,422.8510,763514,-3332801.0000,35.1610,0.6232,-0.5205
2023-10-02 13:15:00,423.5850,422.9230,423.7540,422.9050,874558,-2458243.0000,45.1596,0.6393,-0.5315
