datetime,close,open,high,low,vol,obv,rsi,atr,macd
2021-03-01 06:45:00,367.6990,367.7970,367.9170,367.6180,26099,940.0000,40.6301,0.3389,-0.1121
2021-03-01 06:50:00,367.2980,367.5580,367.7060,367.1970,3942,-3002.0000,30.0224,0.3511,-0.1250
2021-03-01 06:55:00,367.5370,367.4340,367.6490,367.3120,1505,-1497.0000,40.0659,0.3511,-0.1436
2021-03-01 07:00:00,367.6990,367.5300,367.8120,367.2550,39644,38147.0000,45.7496,0.3658,-0.1489
2021-03-01 07:05:00,367.6320,367.6350,367.7930,367.4460,20293,17854.0000,43.8956,0.3644,-0.1430
2021-03-01 07:10:00,367.6510,367.6920,367.8120,367.5030,24970,42824.0000,44.5814,0.3605,-0.1321
2021-03-01 07:15:00,367.8430,367.6730,368.1270,367.5230,125855,168679.0000,51.0887,0.3779,-0.1237
2021-03-01 07:20:00,367.8330,367.8070,367.9460,367.6180,25760,142919.0000,50.7544,0.3743,-0.1049
2021-03-01 07:25:00,367.5460,367.7780,367.8590,367.4080,23964,118955.0000,42.2170,0.3798,-0.0914
2021-03-01 07:30:00,367.5080,367.5970,367.6680,367.3120,6614,112341.0000,41.2281,0.3781,-0.0941
2021-03-01 07:35:00,367.5460,367.5010,367.6590,367.3600,15938,128279.0000,42.6742,0.3724,-0.1029
2021-03-01 07:40:00,367.5750,367.5970,367.6870,367.3310,11375,139654.0000,43.8104,0.3713,-0.1009
2021-03-01 07:45:00,367.6610,367.5490,367.8400,367.4270,12380,152034.0000,47.1554,0.3742,-0.1021
2021-03-01 07:50:00,367.7760,367.6540,367.9170,367.5320,17919,169953.0000,51.3281,0.3750,-0.0934
2021-03-01 07:55:00,367.8240,367.8360,367.9650,367.6950,10990,180943.0000,52.9963,0.3675,-0.0710
2021-03-01 08:00:00,368.0240,367.7490,368.1460,365.9640,156633,337576.0000,59.2620,0.4971,-0.0597
2021-03-01 08:05:00,368.0150,368.0460,368.2130,367.8960,99813,237763.0000,58.8816,0.4843,-0.0264
2021-03-01 08:10:00,368.1680,368.0560,368.3470,367.6750,76367,314130.0000,63.2053,0.4977,0.0008
2021-03-01 08:15:00,368.0340,368.2180,368.3380,363.6600,129593,184537.0000,57.5023,0.7963,0.0350
2021-03-01 08:20:00,367.7280,368.0370,368.1460,367.6090,64056,120481.0000,47.0599,0.7777,0.0470
2021-03-01 08:25:00,367.6040,367.8170,367.8880,367.4940,46941,73540.0000,43.6043,0.7503,0.0383
2021-03-01 08:30:00,367.5840,367.6730,367.7450,367.3700,143784,-70244.0000,43.0552,0.7235,0.0195
2021-03-01 08:35:00,367.8910,367.6540,368.0220,367.5230,85005,14761.0000,52.8676,0.7075,0.0031
2021-03-01 08:40:00,367.8350,367.9410,368.0600,367.7230,269890,-255129.0000,51.1366,0.6810,0.0131
2021-03-01 08:45:00,368.0240,367.9120,368.1370,367.7620,56726,-198403.0000,56.3331,0.6592,0.0185
2021-03-01 08:50:00,368.1770,368.0560,368.3380,367.8570,67064,-131339.0000,60.0381,0.6464,0.0339
2021-03-01 08:55:00,368.1100,368.2180,368.3380,367.9810,81623,-212962.0000,57.7282,0.6258,0.0586
2021-03-01 09:00:00,368.1200,368.1320,368.3950,367.7900,57589,-155373.0000,57.9880,0.6243,0.0704
2021-03-01 09:05:00,367.8710,368.1800,368.6340,367.6180,143385,-298758.0000,49.7833,0.6523,0.0827
2021-03-01 09:10:00,368.3780,367.9030,368.5390,367.7810,79908,-218850.0000,61.6741,0.6598,0.0692
2021-03-01 09:15:00,368.2540,368.3140,368.5390,368.1440,75663,-294513.0000,58.0534,0.6409,0.0907
2021-03-01 09:20:00,368.3880,368.3040,368.5960,368.0580,59879,-234634.0000,60.7360,0.6335,0.1057
2021-03-01 09:25:00,368.7420,368.4380,368.8540,368.2870,134209,-100425.0000,66.7801,0.6288,0.1269
2021-03-01 09:30:00,369.4970,368.7830,369.6580,368.6120,3977571,3877146.0000,75.4575,0.6586,0.1697
2021-03-01 09:35:00,369.0570,369.5480,369.7820,368.6410,2546061,1331085.0000,64.8295,0.6931,0.2622
2021-03-01 09:40:00,369.6360,369.0980,369.8490,368.9660,1617996,2949081.0000,70.6814,0.7066,0.2958
2021-03-01 09:45:00,369.4490,369.6820,370.1170,369.2910,2141413,807668.0000,66.8147,0.7151,0.3654
2021-03-01 09:50:00,369.7270,369.4900,370.0120,369.0620,1484710,2292378.0000,69.4872,0.7319,0.4004
2021-03-01 09:55:00,370.0230,369.7870,370.2410,369.6640,1712196,4004574.0000,72.0666,0.7209,0.4470
2021-03-01 10:00:00,370.4060,370.0740,370.7580,369.5020,2117398,6121972.0000,75.0102,0.7591,0.5013
2021-03-01 10:05:00,370.2740,370.4470,370.7870,369.8550,1908926,4213046.0000,72.1868,0.7714,0.5678
2021-03-01 10:10:00,370.3390,370.3130,370.6140,369.9610,2150380,6363426.0000,72.7311,0.7630,0.6028
2021-03-01 10:15:00,371.1820,370.3790,371.3220,370.2520,1637191,8000617.0000,78.5847,0.7849,0.6287
2021-03-01 10:20:00,371.2380,371.2400,371.5420,370.2190,974366,8974983.0000,78.9086,0.8233,0.7104
2021-03-01 10:25:00,371.0750,371.2790,371.3800,370.8880,953969,8021014.0000,75.3369,0.7997,0.7695
2021-03-01 10:30:00,371.3430,371.1110,371.6190,370.8980,1109176,9130190.0000,77.1669,0.7941,0.7936
2021-03-01 10:35:00,371.6490,371.3840,371.8010,371.1650,905436,10035626.0000,79.0760,0.7828,0.8252
2021-03-01 10:40:00,371.7920,371.7000,371.9440,371.4520,1015646,11051272.0000,79.9208,0.7620,0.8658
2021-03-01 10:45:00,371.8400,371.8330,371.9820,371.4040,731927,11783199.0000,80.2097,0.7489,0.8983
2021-03-01 10:50:00,371.9150,371.8760,372.0780,371.6910,494189,12277388.0000,80.6775,0.7230,0.9170
2021-03-01 10:55:00,371.9930,371.9480,372.2500,371.7580,989587,13266975.0000,81.1758,0.7065,0.9269
