datetime,close,high,low,open,vol,obv,rsi,atr,macd
2024-03-22 11:40:00,521.46002,521.64001,521.45001,521.48999,337057,-392380.00000,44.85220,0.31900,-0.15701
2024-03-22 11:45:00,521.46997,521.60999,521.40002,521.46002,476123,83743.00000,45.07683,0.31121,-0.15092
2024-03-22 11:50:00,521.52002,521.67999,521.47998,521.47998,333728,417471.00000,46.26270,0.30398,-0.14044
2024-03-22 11:55:00,521.67999,521.70502,521.42999,521.52002,338845,756316.00000,49.98026,0.30191,-0.11787
2024-03-22 12:00:00,521.51001,521.77789,521.46771,521.65997,330590,425726.00000,46.31389,0.30251,-0.11240
2024-03-22 12:05:00,521.51001,521.62000,521.42999,521.51001,369258,425726.00000,46.31389,0.29447,-0.10683
2024-03-22 12:10:00,521.44501,521.65002,521.35999,521.51001,447521,-21795.00000,44.85461,0.29415,-0.10644
2024-03-22 12:15:00,521.45001,521.46002,521.19049,521.44501,1168424,1146629.00000,44.99831,0.29239,-0.10452
2024-03-22 12:20:00,521.42999,521.52002,521.33130,521.45001,297751,848878.00000,44.49880,0.28499,-0.10342
2024-03-22 12:25:00,521.45001,521.52002,521.29999,521.42999,272691,1121569.00000,45.15445,0.28035,-0.09978
2024-03-22 12:30:00,521.09998,521.51001,521.09003,521.45502,363197,758372.00000,36.93803,0.29032,-0.12372
2024-03-22 12:35:00,521.22998,521.25000,520.96997,521.10999,461495,1219867.00000,41.21631,0.28959,-0.13069
2024-03-22 12:40:00,521.50299,521.53003,521.23999,521.23999,485613,1705480.00000,49.03569,0.29034,-0.11289
2024-03-22 12:45:00,521.59998,521.66998,521.50000,521.50000,545043,2250523.00000,51.50363,0.28174,-0.08992
2024-03-22 12:50:00,521.77502,521.88000,521.59998,521.59998,540680,2791203.00000,55.67568,0.28162,-0.05693
2024-03-22 12:55:00,521.84003,521.84998,521.65002,521.78003,654473,3445676.00000,57.14986,0.27578,-0.02525
2024-03-22 13:00:00,521.90997,521.90997,521.76001,521.83002,485191,3930867.00000,58.74006,0.26680,0.00544
2024-03-22 13:05:00,521.95001,522.00500,521.88000,521.96002,468141,4399008.00000,59.66287,0.25667,0.03261
2024-03-22 13:10:00,522.03003,522.09003,521.79999,521.95502,513162,4912170.00000,61.51535,0.25905,0.05991
2024-03-22 13:15:00,522.05499,522.21002,521.98499,522.02307,1037278,5949448.00000,62.10013,0.25662,0.08261
2024-03-22 13:20:00,521.94458,522.06000,521.84497,522.04999,520075,5429373.00000,57.90883,0.25365,0.09065
2024-03-22 13:25:00,522.04272,522.08002,521.92499,521.95001,283720,5713093.00000,60.46323,0.24661,0.10374
2024-03-22 13:30:00,522.12000,522.26001,522.04498,522.04498,320415,6033508.00000,62.39806,0.24451,0.11898
2024-03-22 13:35:00,521.96002,522.15997,521.92999,522.12000,325573,5707935.00000,56.25966,0.24347,0.11680
2024-03-22 13:40:00,522.12500,522.13501,521.90002,521.96002,426757,6134692.00000,60.56788,0.24287,0.12692
2024-03-22 13:45:00,522.24988,522.39001,522.10999,522.13000,404963,6539655.00000,63.49857,0.24552,0.14337
2024-03-22 13:50:00,522.45001,522.53998,522.25000,522.25000,502858,7042513.00000,67.64845,0.24871,0.17058
2024-03-22 13:55:00,522.54498,522.59003,522.41998,522.46002,357750,7400263.00000,69.42487,0.24309,0.19754
2024-03-22 14:00:00,522.56000,522.60498,522.38000,522.53998,410047,7810310.00000,69.70807,0.24179,0.21761
2024-03-22 14:05:00,522.34998,522.57001,522.31000,522.56000,320830,7489480.00000,61.17287,0.24309,0.21409
2024-03-22 14:10:00,522.34497,522.46997,522.33002,522.35498,222652,7266828.00000,60.98125,0.23573,0.20850
2024-03-22 14:15:00,522.19989,522.34991,522.15997,522.34497,275782,6991046.00000,55.54925,0.23246,0.19017
2024-03-22 14:20:00,522.20721,522.23999,521.95502,522.19012,490765,7481811.00000,55.76348,0.23621,0.17423
2024-03-22 14:25:00,522.50989,522.58002,522.17999,522.19000,418081,7899892.00000,63.57594,0.24791,0.18390
2024-03-22 14:30:00,522.35999,522.53003,522.21002,522.51001,350491,7549401.00000,58.10296,0.25306,0.17742
2024-03-22 14:35:00,522.37000,522.46002,522.31000,522.37000,329991,7879392.00000,58.36073,0.24570,0.17112
2024-03-22 14:40:00,522.16998,522.36499,522.09998,522.35999,647235,7232157.00000,51.53747,0.24744,0.14828
2024-03-22 14:45:00,522.02002,522.22998,522.00000,522.16998,525832,6706325.00000,47.09187,0.24619,0.11673
2024-03-22 14:50:00,522.01001,522.14001,521.95001,522.02002,356009,6350316.00000,46.80168,0.24218,0.08988
2024-03-22 14:55:00,522.16998,522.28003,522.00000,522.01001,328209,6678525.00000,51.90288,0.24488,0.08059
2024-03-22 15:00:00,522.01031,522.19012,521.96002,522.16998,582447,6096078.00000,47.05314,0.24382,0.05965
2024-03-22 15:05:00,522.09003,522.11499,521.85242,522.01990,811729,6907807.00000,49.58576,0.24516,0.04892
2024-03-22 15:10:00,521.47998,522.12000,521.25000,522.08002,966555,5941252.00000,35.56486,0.28979,-0.00870
2024-03-22 15:15:00,521.38501,521.57001,521.12000,521.47498,1140913,4800339.00000,33.95519,0.30124,-0.06133
2024-03-22 15:20:00,521.45001,521.51001,521.26001,521.39001,568416,5368755.00000,36.08738,0.29758,-0.09668
2024-03-22 15:25:00,521.69000,521.75000,521.44000,521.44501,614056,5982811.00000,43.35806,0.29847,-0.10412
2024-03-22 15:30:00,521.53998,521.75000,521.41998,521.70001,675002,5307809.00000,40.27371,0.30072,-0.12074
2024-03-22 15:35:00,521.78003,521.84003,521.53998,521.54999,1010165,6317974.00000,46.79552,0.30067,-0.11323
2024-03-22 15:40:00,521.95001,522.02002,521.71503,521.78998,725152,7043126.00000,50.88530,0.30098,-0.09250
2024-03-22 15:45:00,521.97998,522.04999,521.82001,521.96002,917896,7961022.00000,51.59180,0.29591,-0.07281
2024-03-22 15:50:00,522.13000,522.35999,521.96997,521.98999,4268815,12229837.00000,55.07571,0.30263,-0.04459
2024-03-22 15:55:00,521.27002,522.21503,521.22998,522.13000,7013905,5215932.00000,38.13355,0.35137,-0.09057
2024-03-25 09:30:00,520.25000,520.35999,519.70001,519.79999,1640642,3575290.00000,27.37658,0.43842,-0.20693
2024-03-25 09:35:00,520.10999,520.32501,520.08002,520.26001,532264,3043026.00000,26.28069,0.42460,-0.30691
2024-03-25 09:40:00,519.73499,520.10999,519.60999,520.09003,1108443,1934583.00000,23.56040,0.42999,-0.41166
2024-03-25 09:45:00,520.03400,520.07001,519.61499,519.74500,694284,2628867.00000,29.79999,0.43178,-0.46519
2024-03-25 09:50:00,520.28497,520.40997,519.98999,520.03003,709426,3338293.00000,34.62378,0.43093,-0.48180
2024-03-25 09:55:00,520.29999,520.35498,520.09003,520.28497,443527,3781820.00000,34.91193,0.41908,-0.48812
2024-03-25 10:00:00,520.09003,520.34003,520.06000,520.28003,812761,2969059.00000,32.73887,0.40915,-0.50427
2024-03-25 10:05:00,520.40002,520.50000,520.09998,520.09998,542278,3511337.00000,38.79619,0.40921,-0.48644
2024-03-25 10:10:00,520.64502,520.75000,520.40002,520.58740,572240,4083577.00000,43.15336,0.40497,-0.44738
2024-03-25 10:15:00,520.59998,520.78198,520.52002,520.65002,500482,3583095.00000,42.55353,0.39476,-0.41528
2024-03-25 10:20:00,520.60773,520.89001,520.53003,520.60498,336265,3919360.00000,42.70113,0.39228,-0.38478
2024-03-25 10:25:00,520.43701,520.71997,520.35999,520.60999,272950,3646410.00000,40.24841,0.38997,-0.37011
2024-03-25 10:30:00,520.59009,520.59497,520.23999,520.44000,554163,4200573.00000,43.38844,0.38747,-0.34219
2024-03-25 10:35:00,520.49500,520.64001,520.29999,520.59003,386123,3814450.00000,41.91485,0.38408,-0.32401
2024-03-25 10:40:00,520.41998,520.52002,520.31000,520.48999,271281,3543169.00000,40.73945,0.37165,-0.31205
2024-03-25 10:45:00,520.31989,520.42499,520.14001,520.30499,402667,3140502.00000,39.16128,0.36546,-0.30711
2024-03-25 10:50:00,520.37000,520.44000,520.24500,520.31012,300549,3441051.00000,40.40587,0.35328,-0.29574
2024-03-25 10:55:00,520.64001,520.65002,520.35999,520.36499,399273,3840324.00000,46.72978,0.34877,-0.26192
2024-03-25 11:00:00,520.69000,520.77002,520.53497,520.65002,478963,4319287.00000,47.83342,0.34064,-0.22846
2024-03-25 11:05:00,520.63000,520.79999,520.55499,520.67999,369669,3949618.00000,46.58589,0.33381,-0.20442
2024-03-25 11:10:00,520.53497,520.71002,520.45001,520.59998,11650329,-7700711.00000,44.60166,0.32854,-0.19084
2024-03-25 11:15:00,520.63501,520.76501,520.44000,520.53998,416474,-7284237.00000,47.15336,0.32829,-0.17004
2024-03-25 11:20:00,520.53003,520.67499,520.40997,520.63000,225375,-7509612.00000,44.82022,0.32377,-0.16018
