0,1,2
0.7_0_8_2_0_5_1_8_100_6.keras,"[0.5076702237129211, 0.4794520437717438]","[0.5009874701499939, 0.800000011920929]"
0.7_1_8_1_0_5_1_64_100_6.keras,"[0.5179360508918762, 0.5555555820465088]","[0.5113746523857117, 0.800000011920929]"
0.7_2_4_2_0_5_1_8_100_6.keras,"[0.49593284726142883, 0.539170503616333]","[0.5395243167877197, 0.9411764740943909]"
0.7_2_4_2_0_5_4_16_100_6.keras,"[0.5174437165260315, 0.6842105388641357]","[0.5244402885437012, 0.8999999761581421]"
0.7_2_4_3_0_5_4_8_100_6.keras,"[0.5151885151863098, 0.5477706789970398]","[0.527105987071991, 0.8181818127632141]"
0.7_2_8_1_0_5_1_32_100_6.keras,"[0.5034294724464417, 0.4901960790157318]","[0.5110515356063843, 0.800000011920929]"
0.7_2_8_3_0_5_2_4_100_6.keras,"[0.4479270577430725, 0.7198443412780762]","[0.7151695489883423, 0.9285714030265808]"
0.7_2_8_3_0_5_2_8_100_6.keras,"[0.4652785360813141, 0.694915235042572]","[0.6091148257255554, 1.0]"
